City,State,Latitude,Longitude
Gresham,OR,45.508117,-122.430233
Gulfport,MS,30.382966,-89.102426
Hagerstown,MD,39.58887,-77.700213
Hampton,VA,37.072658,-76.38992
Harlingen,TX,26.255523,-97.667502
Harrisburg,PA,40.258655,-76.894376
Hartford,CT,41.791776,-72.718832
Hayward,CA,37.673946,-122.08482
Hemet,CA,33.667301,-116.963506
Henderson,NV,35.927901,-114.972061
Hialeah,FL,25.909809,-80.388874
Hickory,NC,35.758221,-81.308224
High Point,NC,35.954467,-79.987882
Highland Park,CO,39.379452,-105.324766
Hillsboro,OR,45.458397,-122.977963
Holland,MI,42.743806,-86.083703
Hollywood,FL,26.027459,-80.120219
Honolulu,HI,21.316548,-157.845053
Houma,LA,29.578671,-90.805402
Houston,TX,29.813142,-95.309789
Huntington Beach,CA,33.66205,-117.968459
Huntington,WV,38.371727,-82.412866
Huntsville,AL,34.718428,-86.556439
Idaho Falls,ID,43.54241,-111.877936
Independence,MO,39.107798,-94.409828
Indianapolis,IN,39.775092,-86.13216
Indio,CA,33.710984,-116.204844
Inglewood,CA,33.956526,-118.358654
Iowa City,IA,41.634209,-91.49905
Irvine,CA,33.757245,-117.750414
Irving,TX,32.767268,-96.777626
Jackson,MS,32.289656,-90.184201
Jacksonville,FL,30.389438,-81.680806
Jacksonville,NC,34.754586,-77.507427
Jersey City,NJ,40.726001,-74.047304
Johnson City,TN,36.330485,-82.317625
Joliet,IL,41.509668,-88.180211
Philo,CA,39.056598,-123.525375
Kalamazoo,MI,42.264543,-85.561545
Kansas City,KS,39.103053,-94.630384
Kansas City,MO,39.102404,-94.598583
Kennewick,WA,46.212306,-119.155671
Kenosha,WI,42.622449,-87.830375
Kent,WA,47.405479,-122.195772
Killeen,TX,31.085833,-97.357099
Kingsport,TN,36.514384,-82.547615
Kissimmee,FL,28.30639,-81.425522
Knoxville,TN,36.032334,-83.884804
La Crosse,WI,43.806197,-91.140529
Lafayette,IN,40.417778,-86.889633
Lafayette,LA,30.24171,-91.991044
Lake Charles,LA,30.233355,-93.214903
Lakeland,FL,28.035908,-81.899669
Lakewood,CO,39.744773,-105.115977
Lancaster,CA,34.713292,-118.15292
Lancaster,PA,40.076553,-76.31068
Lansing,MI,42.599184,-84.371973
Laredo,TX,27.515879,-99.494078
Las Cruces,NM,32.290052,-106.753893
Las Vegas,NV,36.17372,-115.10647
League City,TX,29.496451,-95.052262
Leesburg,FL,28.758895,-81.888695
Lehigh Acres,FL,26.593573,-81.661922
Leominster,MA,42.52509,-71.75979
Lewisville,TX,33.20743,-97.116282
Lexington,KY,38.016674,-84.486043
Lincoln,NE,40.865142,-96.823133
Little Rock,AR,34.746905,-92.280049
Logan,UT,41.717722,-111.836493
Long Beach,CA,33.756024,-118.201101
Longmont,CO,40.164837,-105.103179
Longview,TX,32.517846,-94.730285
Lorain,OH,41.450991,-82.166534
Los Angeles,CA,33.973951,-118.248405
Louisville,KY,38.25247,-85.753812
Lowell,MA,42.656045,-71.303309
Lubbock,TX,33.588771,-101.850445
Lynchburg,VA,37.359607,-79.141653
Macon,GA,32.804382,-83.617554
Madison,WI,43.060926,-88.230636
Manchester,NH,42.988483,-71.462111
New York,NY,40.750422,-73.996328
Manteca,CA,37.807297,-121.177601
Marysville,WA,48.049576,-122.161951
Mauldin,SC,34.77873,-82.31012
McAllen,TX,26.215816,-98.239592
McKinney,TX,33.141438,-96.588295
Medford,OR,42.265974,-122.900832
Memphis,TN,35.050667,-89.847782
Merced,CA,37.345785,-120.42415
Meridian,ID,43.579067,-116.421656
Mesa,AZ,33.440695,-111.856967
Mesquite,TX,32.777779,-96.62315
Metairie,LA,29.984643,-90.161821
Miami,FL,25.558428,-80.458168
Miami,FL,25.558428,-80.458168
Midland,TX,31.992384,-102.081464
Milwaukee,WI,43.043213,-87.894734
Minneapolis,MN,44.984577,-93.269097
Miramar,FL,25.987314,-80.232271
Mission Viejo,CA,33.605527,-117.667923
Mobile,AL,30.701142,-88.103184
Modesto,CA,37.669463,-121.016796
Monroe,LA,32.502833,-92.094583
Montgomery,AL,32.356988,-86.257817
Moreno Valley,CA,33.88274,-117.224878
Murfreesboro,TN,35.762951,-86.372158
Murrieta,CA,33.548299,-117.344739
Muskegon,MI,43.237691,-86.254186
Myrtle Beach,SC,33.77156,-78.784745
Nampa,ID,43.595567,-116.61063
Naperville,IL,41.759029,-88.152381
Nashua,NH,42.741295,-71.458793
Nashville,TN,36.165688,-86.778098
New Bedford,MA,41.633416,-70.951045
New Haven,CT,41.365709,-72.927507
New Orleans,LA,29.958304,-90.077
New York,NY,40.750422,-73.996328
Newark,NJ,40.735642,-74.173988
Newport News,VA,37.058296,-76.463471
Norfolk,VA,36.895911,-76.208521
Norman,OK,35.208566,-97.44451
North Charleston,SC,32.853019,-79.991295
North Las Vegas,NV,36.211456,-115.124148
North Port,FL,27.074755,-82.175602
Norwalk,CA,33.906763,-118.076549
Norwich,CT,41.52426,-72.07591
Oakland,CA,37.786027,-122.223779
Ocala,FL,29.198907,-82.087425
Oceanside,CA,33.195534,-117.354538
Odessa,TX,31.765163,-102.354346
Ogden,UT,41.221328,-111.957685
Oklahoma City,OK,35.491608,-97.562817
Olathe,KS,38.899901,-94.831991
Olympia,WA,46.984767,-122.869079
Omaha,NE,41.262003,-95.933564
Ontario,CA,34.05936,-117.6203
Orange,CA,33.640302,-117.769442
Orlando,FL,28.545179,-81.373291
Overland Park,KS,39.02315,-94.669467
Oxnard,CA,34.205247,-119.174092
Palm Bay,FL,28.031367,-80.600412
Palm Coast,FL,29.466085,-81.282815
Palm Springs,CA,33.842567,-116.527996
Palmdale,CA,34.408383,-118.123597
Panama City,FL,30.159737,-85.660922
Paradise,NV,36.036566,-115.080923
Pasadena,CA,33.786594,-118.298662
Pasadena,TX,29.678179,-95.202911
Paterson,NJ,40.911999,-74.170965
Pearland,TX,29.561554,-95.279739
Pembroke Pines,FL,26.021239,-80.340396
Pensacola,FL,30.428781,-87.222516
Peoria,AZ,33.573244,-112.245852
Peoria,IL,40.693137,-89.589847
Philadelphia,PA,40.001811,-75.11787
Phoenix,AZ,33.703967,-112.351835
Pittsburgh,PA,40.47441,-79.950968
Plano,TX,33.056756,-96.730831
Pomona,CA,34.042286,-117.756106
Pompano Beach,FL,26.234772,-80.120584
Ponce,PR,17.990567,-66.607542
Port Arthur,TX,29.870904,-93.964278
Port Saint Lucie,FL,27.312492,-80.313322
Portland,ME,43.658784,-70.262393
Portland,OR,45.507856,-122.690794
Pottstown,PA,40.263457,-75.617195
Poughkeepsie,NY,41.701908,-73.911521
Prescott Valley,AZ,34.668291,-112.307777
Providence,RI,41.81835,-71.424851
Provo,UT,40.235053,-111.695558
Pueblo,CO,38.293234,-104.536493
Queens,NY,40.605382,-73.755133
Racine,WI,42.727153,-87.675979
Raleigh,NC,35.773632,-78.634457
Rancho Cucamonga,CA,34.839964,-115.967051
Reading,PA,40.357242,-75.940153
Redding,CA,40.600342,-122.455016
Reno,NV,39.525749,-119.813051
Renton,WA,47.446982,-122.201521
Rialto,CA,34.111606,-117.377406
Richardson,TX,32.962811,-96.726826
Richmond,CA,37.947523,-122.384032
Richmond,VA,37.524246,-77.493157
Riverside,CA,33.99504,-117.373184
Roanoke,VA,37.274175,-79.95786
Rochester,MN,44.075285,-92.516916
Rochester,NY,43.156612,-77.604023
Rock Hill,SC,34.909109,-81.052437
Rockford,IL,42.33342,-89.157198
Roseville,CA,38.74073,-121.25603
Round Lake,IL,42.35336,-88.09341
Round Rock,TX,30.501747,-97.647206
Sacramento,CA,38.377411,-121.444429
Saginaw,MI,43.41242,-83.886873
Salem,OR,44.94878,-123.003655
Salinas,CA,36.64152,-121.622188
Salisbury,MD,38.382445,-75.633621
Salt Lake City,UT,40.756095,-111.900719
San Angelo,TX,31.44451,-100.533397
San Antonio,TX,29.468413,-98.528889
San Bernardino,CA,34.104794,-117.29215
San Buenaventura,CA,34.278335,-119.293168
San Diego,CA,32.724103,-117.170912
San Francisco,CA,37.776646,-122.417481
San Jose,CA,37.346608,-121.909871
San Juan,PR,18.465299,-66.116666
San Mateo,CA,37.573485,-122.32253
Sandy Springs,GA,33.924269,-84.378538
Santa Ana,CA,33.74822,-117.858473
Santa Barbara,CA,34.421897,-119.707135
Santa Clara,CA,37.351158,-121.952295
Santa Clarita,CA,34.440891,-118.501748
Santa Cruz,CA,37.052748,-122.111126
Santa Fe,NM,35.697473,-105.982146
Santa Maria,CA,34.875832,-120.340795
Santa Rosa,CA,38.450412,-122.783159
Sarasota,FL,27.335023,-82.537169
Savannah,GA,32.074679,-81.088261
Scottsdale,AZ,33.534451,-111.887354
Scranton,PA,41.410079,-75.666784
Seaside,CA,36.61107,-121.85162
Seattle,WA,47.610902,-122.336422
Shreveport,LA,32.498202,-93.750228
Simi Valley,CA,34.30873,-118.687222
Sioux City,IA,42.494745,-96.399356
Sioux Falls,SD,43.546358,-96.69063
South Bend,IN,41.673383,-86.251654
South Lyon,MI,42.474564,-83.612188
Sparks,NV,39.540398,-119.749111
Spartanburg,SC,34.934028,-82.010697
Spokane,WA,47.66264,-117.435997
Spokane,WA,47.66264,-117.435997
Spring Hill,FL,28.468477,-82.595728
Spring Creek,NV,40.751905,-115.595581
Springfield,IL,39.800698,-89.648801
Springfield,MA,42.170731,-72.604842
Springfield,MO,37.25807,-93.343673
Saint Cloud,MN,45.519196,-94.330619
Saint George,UT,37.185679,-113.609837
Saint Louis,MO,38.631501,-90.19231
Saint Paul,MN,44.951483,-93.090649
Saint Petersburg,FL,27.775654,-82.64092
Stamford,CT,41.054082,-73.536216
Staten Island,NY,40.601817,-74.06052
Sterling Heights,MI,42.564395,-83.068475
Stockton,CA,37.672196,-121.298794
Sugar Land,TX,29.620312,-95.605693
Sunnyvale,CA,37.371647,-122.023153
Sunrise Manor,NV,36.18498,-115.04697
Surprise,AZ,33.640996,-112.37833
Syracuse,NY,43.02143,-76.197701
Tacoma,WA,47.250158,-122.43903
Tallahassee,FL,30.427753,-84.258472
Tampa,FL,27.996097,-82.582035
Temecula,CA,33.752886,-116.055617
Tempe,AZ,33.401395,-111.931298
Temple,TX,31.068306,-97.3047
Texas City,TX,29.376057,-94.921474
The Woodlands,TX,30.194985,-95.548211
Thornton,CO,39.868041,-104.971924
Thousand Oaks,CA,34.212798,-118.882175
Toledo,OH,41.720684,-83.569359
Topeka,KS,38.988075,-95.780662
Torrance,CA,33.835665,-118.303805
Tracy,CA,37.737191,-121.433384
Trenton,NJ,40.280531,-74.712018
Tucson,AZ,32.217975,-110.970869
Tulsa,OK,36.063095,-95.804231
Turlock,CA,37.474396,-120.875918
Tuscaloosa,AL,33.170238,-87.616169
Tyler,TX,32.321937,-95.302223
Utica,NY,43.077369,-75.233208
Vacaville,CA,38.333133,-121.920151
Vallejo,CA,38.18735,-122.224074
Vancouver,WA,45.678996,-122.720499
Victorville,CA,34.480247,-117.408186
Virginia Beach,VA,36.844004,-76.12036
Visalia,CA,36.303793,-119.375646
Vista,CA,33.19784,-117.248203
Waco,TX,31.552011,-97.1382
Warner Robins,GA,32.580403,-83.653003
Warren,MI,42.474786,-82.995121
Washington,DC,38.911936,-77.016719
Waterbury,CT,41.556461,-73.045886
Waterloo,IA,42.441117,-92.339209
West Covina,CA,34.066964,-117.937007
West Jordan,UT,40.622887,-111.964564
West Palm Beach,FL,26.715844,-80.070249
West Valley City,UT,40.691613,-112.00105
Westminster,CO,39.830822,-105.03747
Wichita Falls,TX,33.905544,-98.479881
Wichita,KS,37.651974,-97.258997
Wilmington,NC,34.271985,-77.963628
Winston-Salem,NC,36.058599,-80.320965
Winter Haven,FL,27.987284,-81.762456
Worcester,MA,42.265275,-71.879415
Yakima,WA,46.722625,-120.406039
Yonkers,NY,40.946107,-73.866926
York,PA,39.962998,-76.727139
Youngstown,OH,41.017082,-80.802854
Yuba City,CA,39.048854,-121.612481
Yuma,AZ,32.701461,-114.657232
,,0,0
